Character,Dialogue
Scott Lang,"Right. No, no, that's not what I meant."
Bruce Banner,"[dropping the act] No, I get it. I'm kidding! I know. It's crazy. I'm wearing shirts now."
Scott Lang,Yeah! How? Why?
Bruce Banner,"Five years ago, we got our asses beat. Except it was worse for me. Because I lost twice. First, Hulk lost, then Banner lost. Then, we all lost."
Natasha Romanov,"No one blamed you, Bruce."
Bruce Banner,"I did. For years, I've been treating the Hulk like he's some kind of disease, something to get rid of. But then I started looking at him as the cure. Eighteen months in a gamma lab. I put the brains and the brawn together. And now look at me. Bets of both worlds..."
girl,"Excuse me, Mr. Hulk?"
Bruce Banner,Yes?
girl,Can we get a photo?
Bruce Banner,"100%, little person. Come on, step up. [Holding out the phone to Scott] You mind?"
Scott Lang,Oh.
Bruce Banner,"Say ""green""! [The children and Bruce say Green as Scott snaps the photo.]"
Bruce Banner,Did you get that? That's good.
Scott Lang,[leaning forward to hand back the phone] Don't you wanna grab one with me? I'm Ant-Man.
Scott Lang,"They're Hulk fans, they don't know Ant-Man. Nobody does."
Bruce Banner,"Wait, no, no, he wants to... [to one of the boys] You want to take a picture with him, right? [The boy shakes his head vigorously.]"
Scott Lang,He's even saying no he doesn't. I get it. I don't want it either. I don't want a picture with them.
Bruce Banner,[To the children] He's gonna feel bad. [To Scott] Sorry. They said they'd do it.
Scott Lang,I don't want it anymore.
Bruce Banner,You'd feel bad.
Scott Lang,Just take the goddamn phone.
girl,"Thank you, Mr. Hulk."
Bruce Banner,"No, it's great kids. Thank you very much. Hulk out!"
Steve Rogers,Bruce.
Bruce Banner,[Awkwardly] Dab!
Steve Rogers,Bruce.
Bruce Banner,Listen to your Mom. She knows better.
Scott Lang,About we were saying...
Bruce Banner,"Right. The whole time travel do-over? Guys, it's outside my area of expertise."
Natasha Romanov,"Well, you pulled this off. I remember a time when that seemed pretty impossible time, too."
Tony Stark,"Look at a mod inspiration, let me see what check out. So, recommend one last sim before we pack it in for the night. This time, in the shape of a mobius strip, inverted, please."
friday,Processing...
Tony Stark,"Give me that eigenvalue. That, particle factoring, and a spectral decomp. Gotta take a second."
friday,Just a moment.
Tony Stark,And don't worry if it doesn't pan out. I'm just kinda -
friday,Model rendered.
Tony Stark,Shit!
morgan,Shit!
Tony Stark,"What are you doing up, little miss?"
morgan,Shit!
Tony Stark,"No, we don't say that. Only Mommy says that word. She coined it, it belongs to her."
morgan,Why you up?
Tony Stark,Cause I got some important shit going on here. What do you think? I got something on my mind.I got something on my mind.
morgan,Was it Juice Pops?
Tony Stark,"Sure was. That's extortion. Great minds think alike. Juice Pops, exactly was on... my mind. [In Morgan's room]"
Tony Stark,"You done? Yeah, now you are. [Pushing Morgan's head onto her pillow] That face goes there."
morgan,Tell me a story.
Tony Stark,"A story. Once upon a time, a girl went to bed. The end."
morgan,[Giggling] That ain't the whole story.
Tony Stark,"Come on, that's your favourite story. I love you tons."
morgan,I love you 3000.
Tony Stark,"Wow. 3000. That's crazy. Go to bed. Or I'll sell all your toys. Night, night."
Tony Stark,"Not that it's a competition or anything, but she loves me 3000. You were somewhere on the low 6 to 900 scale. [Pepper scoffs]"
Tony Stark,[Absentmindedly] What are you reading?
Pepper Potts,"Oh, it's just a book on composting."
Tony Stark,[Still absentmindedly] What's new with composting?
Pepper Potts,Just -
Tony Stark,"I figured it out, by the way."
Pepper Potts,"You know, just so we're talking about the same thing -"
Tony Stark,Time travel.
Pepper Potts,"What? Wow... That's amazing, and... terrifying."
Tony Stark,That's right.
Pepper Potts,I got really lucky.
Tony Stark,"Yeah, I know."
Pepper Potts,A lot of people didn't.
Tony Stark,"No, I can't help everybody."
Pepper Potts,It sorta seems like you can.
Tony Stark,"Not if I stop. I can put a pin in it right now, and stop."
Pepper Potts,"Tony, trying to get you to stop has been one of the few failures of my life."
Tony Stark,I sometimes feel I should put it in a locked box and drop it at the bottom of a lake... go to bed.
Pepper Potts,But would you be able to rest?
Bruce Banner,"Okay, here we go. Time travel test number one. Scott, fire up the uhhh... van thing."
Steve Rogers,"Breakers are set, emergency generators are on standby."
Bruce Banner,"Good. 'Cause if we blow the grid, I don't wanna lose tiny here in the 1950s. [Scott, Nat and Cap give Bruce a panicked look]"
Scott Lang,Excuse me?
Natasha Romanov,He's kidding. [To Bruce] You can't say things like that.
Bruce Banner,Just... It was a bad joke.
Natasha Romanov,"You were kidding, right?"
Bruce Banner,"I have no idea. We're talking about time travel here. Either it's all a joke, or none of it is. [presses a few buttons] We're good! Get your helmet on, Scott. I'm gonna send you back a week, you'll walk around for an hour, then bring you back in 10 seconds. Makes sense?"
Scott Lang,Perfectly not confusing
Steve Rogers,"Good luck, Scott. You got this."
Scott Lang,"You're right, Captain America, I do."
Bruce Banner,On the count of three. 3... 2... 1!
teen scott,Guys? This doesn't feel right.
Steve Rogers,What's going on?
Bruce Banner,Hold on.
Natasha Romanov,Who is that?
Steve Rogers,Is that Scott?
teen scott,"Yes, this is Scott!"
old scott,Ow! My back!
Steve Rogers,Can you bring him back?
Bruce Banner,I'm working on it!
Steve Rogers,It's a baby.
Bruce Banner,It's Scott.
Steve Rogers,As a baby!
Bruce Banner,He'll grow!
Steve Rogers,Bring Scott back.
Bruce Banner,"[motioning to Nat] When I say kill the power, kill the power. And... Kill it!"
Scott Lang,"Somebody peed my pants. I don't know if it was ""baby"" me or ""old"" me. Or just ""me"" me."
Bruce Banner,Time travel!
Steve Rogers,What?
Bruce Banner,I see this as an absolute win!
Tony Stark,He turned into a baby.
Steve Rogers,"Among other things, yeah. What are you doing here?"
Tony Stark,"[Ignoring Steve's question] That's the EPR paradox. Instead of pushing Lang through time, you might've wound up pushing time through Lang. It's tricky. Dangerous. Somebody shoulda cautioned you against it."
Steve Rogers,You did.
Tony Stark,"[Opening his car's trunk] Oh, did I? Thank god I'm here. Regardless, I fixed it. [He holds up his right hand, with a device on it] A fully functioning Time-Space GPS. I just want peace. Turns out, resentment is corrosive, and I hate it."
Steve Rogers,Me too.
Tony Stark,"Bring back everyone? I hope, yes. Keep what I got? I have to, at all costs. And maybe not die trying will be nice."
Steve Rogers,"Sounds like a deal. [Steve reaches out his hand to shake in the deal, in which Tony replies in the same way.]"
Steve Rogers,"Tony, I don't know..."
Tony Stark,"Why? He made it for you. Plus, honestly I have to get it out of the garage before Morgan takes it sledding."
Steve Rogers,"Thank you, Tony"
Tony Stark,"Will you keep that a little quiet? Didn't bring one for the whole team. We are getting the whole team, yeah?"
Steve Rogers,We're working on that right now.
Rocket Raccoon,"Hey, humie! Where's Big Green?"
Scott Lang,"Uh, Kitchen, I think. [To himself as he sees Rocket with a gun] That's awesome. [He starts to eat his taco, but Nebula lands right in front of him at full speed. Everything inside the taco falls out as Scott gets spooked]"
Nebula,"[into an earpiece] Rhodey, careful on re-entry. There's an idiot on the landing zone."
Scott Lang,"Oh, God!"
Rhodey,"What's up, regular sized man?"
Rocket Raccoon,Kind of a step down from a from a golden palace for an Avenger highness and whatnot.
Bruce Banner,"Have a little compassion, pal. First they've lost Asgard, then half the people. They're probably just happy to have a home. [Bruce spots Valkyrie looking over at him, and heads over to her.]"
valkyrie,You shouldn't have come!
Bruce Banner,"Valkyrie! Great to see you, Angry Girl!"
valkyrie,[Noticing Bruce's change of appearance] I think I liked you better either of the other ways.
Bruce Banner,[motioning to Rocket] This is Rocket.
Rocket Raccoon,How you doin'?
valkyrie,[Eyeing Rocket] He won't see you.
Bruce Banner,"That bad, huh?"
valkyrie,"We only see him once a month, when he comes for... [looking over to a pile of kegs on the side] ... supplies."
Rocket Raccoon,It's that bad.
Bruce Banner,Yeah.
Bruce Banner,[Grimacing at the smell] What the...
Rocket Raccoon,Woo! Something died in here.
Bruce Banner,Hello? Thor?
Thor,[From another room.] Are you here about the cable?
Thor,"The Cinemax ran out about two weeks ago, and the sports were all kind of fuzzy. [He notices Bruce and Rocket standing there] Boys! Oh my God! How have you been? [To Rocket, trying to hug him] Come here, you little rascal!"
Rocket Raccoon,"No, I'm good. I'm good. That's not necessary."
Thor,"Hulk, you know my friends, Miek, Korg, right?"
Bruce Banner,"Hey, boys!"
korg,"Hey guys. Long time no see. Beer's on the bucket. Feel free to log on to the Wi-Fi. No password, obviously. Thor, he's back. The kid on the TV that called me a dickhead again."
Thor,Noobmaster?
korg,"Yeah, Noobmaster69."
Thor,"Noobmaster? Yeah, it's Thor again. You know, the God of Thunder? Listen, buddy. If you don't log off this game immediately, I'm gonna fly over to your house, come down to that basement you're hiding in, rip off your arms then shove them up your butt! Oh, that's right. Yes, now go cry to your father, you little weasel!"
korg,"Thank you, Thor."
Thor,"Let me know if he bothers you again, okay?"
korg,Thank you very much. I will.
Thor,"So you guys want a drink? What are you drinking? We have beer, tequila, all sorts of things."
Bruce Banner,"Buddy, you all right?"
Rocket Raccoon,You look like melted ice cream.
Thor,"[Laughs] So, what's up?"
Bruce Banner,We need your help. There might be a chance we could fix everything.
Thor,"What, like the cable? [burps] Cause that's been driving me bananas for weeks."
Bruce Banner,Like Thanos.
Thor,Don't say that name.
korg,"Um, yeah. We don't actually say that name in here."
Bruce Banner,"[quietly] Please take your hand off me. [He brushes away Thor's hand] Now, I know that... guy might scare you."
Thor,"Why would I be? Why would, why would I be scared of that guy? I'm the one who killed that guy, remember? Anyone else here killed that guy? Nope. Didn't think so. Korg, why don't you, tell everybody who chopped Thanos' big head off."
korg,Umm... Stormbreaker?
Thor,"Now, who's swingin' Stormbreaker?"
Bruce Banner,"I get it. You're in a rough spot, okay? I've been there myself. You wanna know who helped me out of it?"
Thor,I don't know. Is it... Natasha?
Bruce Banner,It was you. You helped me.
Thor,"[walks over and looks out the window and points, still holding his beer] Why don't you ask the, Asgardians down there, how much my help was worth. [he drops onto the sofa] The ones that are left, anyway."
Bruce Banner,I think we can bring them back.
Thor,"Stop. Just, stop... [opens a packet on m&ms] I know you think I'm down here wallowing in my own self-pity, waiting to be rescued and and saved. But I'm fine, okay? We're fine, aren't we?"
korg,"Nah, all good here, mate!"
Thor,"So, whatever it is that you're offering, we're not into it, don't care, couldn't care less. Goodbye."
Bruce Banner,"[from offscreen] We need you, pal."
Rocket Raccoon,[Crossing his arms] There's beer on the ship.
Thor,"[pauses, but doesn't look up] What kind?"
ronin,[Also in Japanese] You're done hurting people.
akihiko,You're crazy!
akihiko,[In English] Wait! Help me! I'll do anything you want!
ronin,"[Raising his katana, in English] What I want... You can't give me."
Clint Barton,You shouldn't be here.
Natasha Romanov,Neither should you.
Clint Barton,I've got a job to do.
Natasha Romanov,Is that what you're calling this? Killing all these people isn't gonna bring your family back.
Natasha Romanov,"We found something. A chance, maybe..."
Clint Barton,[Now openly crying] Don't! Don't give me hope!
Natasha Romanov,I'm sorry I couldn't give it to you sooner.
Tony Stark,"[To Thor] Drifting left. On the side there, Lebowski. [To Rocket, who's working on something underneath a glass platform] How's it going, Ratchet?"
Rocket Raccoon,"It's Rocket. Take it easy. You're only a genius on Earth, pal."
Tony Stark,[Unfazed] Yup.
Bruce Banner,Time travel suit? Not bad.
Scott Lang,"[Response to Hulk touching the suit and something red in a glass tube] Hey, hey, hey. Easy, easy!"
Bruce Banner,I'm being very careful.
Scott Lang,"No, you're being very Hulky."
Bruce Banner,I'm being careful.
Scott Lang,"[Holding up the red glass bottle] These are Pym Particles, alright? And ever since Hank Pym got snapped out of existence, this is it. This is what we have. We're not making any more."
Steve Rogers,"Scott, calm down!"
Scott Lang,"Sorry. We've got enough for one round trip each. That's it. No do-overs. Plus two test runs. [He accidentally presses a button, and shrinks, and then grows back to his normal size.] One test run."
Scott Lang,All right. I'm not ready for this.
Bruce Banner,I'm game.
Clint Barton,I'll do it.
Bruce Banner,"Clint, now you're gonna feel a little discombobulated from the chronoshift."
Clint Barton,[Taking position on the platform] Don't worry about it.
Rhodey,"Wait a second, let me ask you something. If we can do this, you know, go back in time, why don't we just find baby Thanos, and..."
Bruce Banner,"First of all, that's horrible."
Rhodey,It's Thanos.
Bruce Banner,"And secondly, time doesn't work that way. Changing the past doesn't change the future."
Rhodey,"Look, we go back, we get the stones before Thanos gets them... Thanos doesn't have the stones. Problem solved. Bingo."
Tony Stark,That's not how it works.
Rhodey,"Well, that's what I heard."
Tony Stark,What? By who? Who told you that?
Rhodey,"Star Trek, Terminator, TimeCop, Time After Time -"
Scott Lang,Quantum Leap -
Rhodey,"A Wrinkle in Time, Somewhere in Time -"
Scott Lang,Hot Tub Time Machine -
Rhodey,"Bill and Ted's Excellent Adventure. Basically, any movie that deals with time travel."
Scott Lang,"Die Hard? No, it's not..."
Rhodey,This is known.
Bruce Banner,"If you travel to the past, that past becomes your future. And your former present becomes the past. Which can't now be changed by your new future..."
Tony Stark,Exactly.
Scott Lang,So... Back To The Future's a bunch of bullshit?
Bruce Banner,"[Turning to Clint] Alright, Clint. We're going in 3... 2... 1!"
lila,Cooper? Where are my headphones?
Clint Barton,"[murmuring] Lila? [The device on his hand starts beeping, signalling the end of this visit] Lila! [He dives for the door, but only manages to open it before he shrinks back to go back to the future.]"
lila,Dad? [She looks around] Dad?
